patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,4:00 PM,9/15/14,Monday
Undergraduate Student,01-5 minutes,Chat,Access Services,4:00 PM,9/15/14,Monday
Undergraduate Student,10-20 minutes,Email List,Research and Instruction Services,4:30 PM,9/15/14,Monday
ARC,0-1 minutes,In Person Service Point,Access Services,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/15/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:30 PM,9/15/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:30 PM,9/15/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 PM,9/15/14,Monday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,8:00 PM,9/15/14,Monday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,9:00 AM,9/16/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,9/16/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,9:30 AM,9/16/14,Tuesday
Staff/Administration,30-60 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,9/16/14,Tuesday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,10:00 AM,9/16/14,Tuesday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,10:30 AM,9/16/14,Tuesday
Staff/Administration,10-20 minutes,In Person Service Point,Access Services,12:30 PM,9/16/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,9/16/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,9/16/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,9/16/14,Tuesday
ARC,20-30 minutes,Phone Service Point,Research and Instruction Services,1:30 PM,9/16/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Access Services,1:30 PM,9/16/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,2:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/16/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/16/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,3:00 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,9/16/14,Tuesday
Staff/Administration,0-1 minutes,In Person Service Point,Access Services,3:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,9/16/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,9/16/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:30 PM,9/16/14,Tuesday
Undergraduate Student,30-60 minutes,Email List,Research and Instruction Services,5:00 PM,9/16/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,6:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:30 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 PM,9/16/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:30 AM,9/17/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,9:00 AM,9/17/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,9:30 AM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,9:30 AM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:30 PM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,Chat,Access Services,1:00 PM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,1:30 PM,9/17/14,Wednesday
ARC,01-5 minutes,In Person Service Point,Access Services,1:30 PM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,2:00 PM,9/17/14,Wednesday
Undergraduate Student,10-20 minutes,Email List,Access Services,2:30 PM,9/17/14,Wednesday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,3:30 PM,9/17/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,9/17/14,Wednesday
Staff/Administration,01-5 minutes,Email Personal,Access Services,4:30 PM,9/17/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,9/17/14,Wednesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,5:00 PM,9/17/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,5:00 PM,9/17/14,Wednesday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,9/17/14,Wednesday
Undergraduate Student,05-10 minutes,Chat,Access Services,6:30 PM,9/17/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,7:00 PM,9/17/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,8:30 PM,9/17/14,Wednesday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,8:00 AM,9/18/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,9:30 AM,9/18/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,9:30 AM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,9/18/14,Thursday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,10:30 AM,9/18/14,Thursday
Graduate Student,0-1 minutes,Email Personal,Access Services,11:00 AM,9/18/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,9/18/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,11:30 AM,9/18/14,Thursday
Graduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,11:30 AM,9/18/14,Thursday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,11:30 AM,9/18/14,Thursday
Graduate Student,05-10 minutes,Email Personal,Research and Instruction Services,11:30 AM,9/18/14,Thursday
Undergraduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,12:00 PM,9/18/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:00 PM,9/18/14,Thursday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,12:30 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,1:00 PM,9/18/14,Thursday
Visitor/Other,0-1 minutes,Phone Service Point,Access Services,1:30 PM,9/18/14,Thursday
Visitor/Other,0-1 minutes,Phone Service Point,Access Services,1:30 PM,9/18/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,1:30 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,2:00 PM,9/18/14,Thursday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,2:30 PM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,2:30 PM,9/18/14,Thursday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,9/18/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,9/18/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:30 PM,9/18/14,Thursday
Undergraduate Student,05-10 minutes,Phone Service Point,Access Services,8:30 PM,9/18/14,Thursday
Undergraduate Student,30-60 minutes,Email List,Research and Instruction Services,8:00 AM,9/19/14,Friday
Graduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,8:00 AM,9/19/14,Friday
Graduate Student,20-30 minutes,In Person Service Point,Research and Instruction Services,8:00 AM,9/19/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,8:30 AM,9/19/14,Friday
Undergraduate Student,05-10 minutes,Email List,Access Services,8:30 AM,9/19/14,Friday
Undergraduate Student,05-10 minutes,Chat,Access Services,11:00 AM,9/19/14,Friday
Undergraduate Student,05-10 minutes,Chat,Access Services,11:00 AM,9/19/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,9/19/14,Friday
Graduate Student,20-30 minutes,Email List,Research and Instruction Services,1:00 PM,9/19/14,Friday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,1:00 PM,9/19/14,Friday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,1:30 PM,9/19/14,Friday
Faculty,30-60 minutes,In Person Personal,Research and Instruction Services,2:00 PM,9/19/14,Friday
Graduate Student,20-30 minutes,Email List,Research and Instruction Services,2:00 PM,9/19/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,9/19/14,Friday
Visitor/Other,01-5 minutes,Email List,Research and Instruction Services,3:00 PM,9/19/14,Friday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,3:30 PM,9/19/14,Friday
Undergraduate Student,20-30 minutes,In Person Service Point,Research and Instruction Services,4:30 PM,9/19/14,Friday
Undergraduate Student,05-10 minutes,Phone Service Point,Access Services,8:30 PM,9/19/14,Friday
Undergraduate Student,05-10 minutes,Chat,Access Services,6:30 PM,9/20/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,9/21/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,9/21/14,Sunday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,1:30 PM,9/21/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/21/14,Sunday
Undergraduate Student,0-1 minutes,Chat,Access Services,7:00 PM,9/21/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:00 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,7:00 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,8:00 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,8:00 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,8:30 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,8:30 PM,9/21/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 PM,9/21/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 PM,9/21/14,Sunday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,8:00 AM,9/22/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,8:30 AM,9/22/14,Monday
Faculty,01-5 minutes,In Person Personal,Research and Instruction Services,8:30 AM,9/22/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,9/22/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,9:00 AM,9/22/14,Monday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,9:00 AM,9/22/14,Monday
Undergraduate Student,01-5 minutes,Chat,Access Services,9:00 AM,9/22/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,9/22/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,9/22/14,Monday
Graduate Student,20-30 minutes,Email List,Research and Instruction Services,11:30 AM,9/22/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,12:00 PM,9/22/14,Monday
Staff/Administration,20-30 minutes,Email Personal,Research and Instruction Services,12:30 PM,9/22/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,12:30 PM,9/22/14,Monday
Staff/Administration,20-30 minutes,Email Personal,Research and Instruction Services,1:00 PM,9/22/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,2:00 PM,9/22/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/22/14,Monday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,3:30 PM,9/22/14,Monday
Undergraduate Student,30-60 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,9/22/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,9/22/14,Monday
Undergraduate Student,20-30 minutes,In Person Service Point,Research and Instruction Services,5:00 PM,9/22/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,5:30 PM,9/22/14,Monday
Undergraduate Student,05-10 minutes,Chat,Access Services,5:30 PM,9/22/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/22/14,Monday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,6:00 PM,9/22/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:00 PM,9/22/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Research and Instruction Services,8:00 AM,9/23/14,Tuesday
Graduate Student,01-5 minutes,Email Personal,Research and Instruction Services,8:00 AM,9/23/14,Tuesday
Faculty,01-5 minutes,Email List,Access Services,8:30 AM,9/23/14,Tuesday
Visitor/Other,01-5 minutes,In Person Personal,Access Services,9:30 AM,9/23/14,Tuesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,9:30 AM,9/23/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,10:00 AM,9/23/14,Tuesday
Undergraduate Student,05-10 minutes,Email List,Research and Instruction Services,10:30 AM,9/23/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Personal,Research and Instruction Services,11:00 AM,9/23/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Personal,Access Services,11:00 AM,9/23/14,Tuesday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,11:00 AM,9/23/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,11:30 AM,9/23/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:30 AM,9/23/14,Tuesday
Undergraduate Student,20-30 minutes,In Person Service Point,Access Services,12:30 PM,9/23/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,1:00 PM,9/23/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,9/23/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,9/23/14,Tuesday
Visitor/Other,01-5 minutes,In Person Personal,Access Services,2:00 PM,9/23/14,Tuesday
Undergraduate Student,30-60 minutes,In Person Service Point,Research and Instruction Services,2:30 PM,9/23/14,Tuesday
Undergraduate Student,30-60 minutes,Email List,Research and Instruction Services,4:00 PM,9/23/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,4:00 PM,9/23/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:00 PM,9/23/14,Tuesday
Faculty,30-60 minutes,Chat,Research and Instruction Services,8:00 AM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,Chat,Access Services,9:30 AM,9/24/14,Wednesday
Staff/Administration,05-10 minutes,Email Personal,Research and Instruction Services,9:30 AM,9/24/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,11:30 AM,9/24/14,Wednesday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,1:00 PM,9/24/14,Wednesday
Undergraduate Student,05-10 minutes,Phone Service Point,Research and Instruction Services,1:00 PM,9/24/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,1:30 PM,9/24/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,9/24/14,Wednesday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,2:30 PM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,3:30 PM,9/24/14,Wednesday
Alumni,0-1 minutes,Phone Service Point,Access Services,4:00 PM,9/24/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,4:00 PM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,4:00 PM,9/24/14,Wednesday
Undergraduate Student,01-5 minutes,Chat,Access Services,4:30 PM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,4:30 PM,9/24/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Personal,Research and Instruction Services,5:00 PM,9/24/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,9/24/14,Wednesday
Visitor/Other,0-1 minutes,Phone Service Point,Access Services,6:00 PM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,7:00 PM,9/24/14,Wednesday
Undergraduate Student,0-1 minutes,Chat,Access Services,8:30 PM,9/24/14,Wednesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,8:00 AM,9/25/14,Thursday
Graduate Student,01-5 minutes,In Person Personal,Research and Instruction Services,8:00 AM,9/25/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,8:30 AM,9/25/14,Thursday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,8:30 AM,9/25/14,Thursday
Visitor/Other,01-5 minutes,Chat,Access Services,10:00 AM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,12:00 PM,9/25/14,Thursday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,12:30 PM,9/25/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,9/25/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,2:00 PM,9/25/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:00 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,2:00 PM,9/25/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/25/14,Thursday
Graduate Student,01-5 minutes,In Person Personal,Research and Instruction Services,4:00 PM,9/25/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,9/25/14,Thursday
Staff/Administration,10-20 minutes,In Person Personal,Research and Instruction Services,4:00 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,6:30 PM,9/25/14,Thursday
Undergraduate Student,01-5 minutes,Chat,Access Services,8:30 PM,9/25/14,Thursday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,10:00 PM,9/25/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,8:30 AM,9/26/14,Friday
Undergraduate Student,01-5 minutes,Chat,Access Services,10:30 AM,9/26/14,Friday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:00 AM,9/26/14,Friday
Staff/Administration,10-20 minutes,Phone Service Point,Access Services,3:00 PM,9/26/14,Friday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,4:00 PM,9/26/14,Friday
Faculty,60+ minutes,Email Personal,Research and Instruction Services,5:00 PM,9/26/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,4:30 PM,9/27/14,Saturday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,5:00 PM,9/27/14,Saturday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,5:30 PM,9/27/14,Saturday
Undergraduate Student,01-5 minutes,Chat,Access Services,7:30 PM,9/27/14,Saturday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/28/14,Sunday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,4:30 PM,9/28/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,6:30 PM,9/28/14,Sunday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,8:30 PM,9/28/14,Sunday
Undergraduate Student,01-5 minutes,Text,Access Services,8:30 PM,9/28/14,Sunday
Undergraduate Student,30-60 minutes,In Person Service Point,Research and Instruction Services,9:00 AM,9/29/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,9/29/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,9/29/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,9/29/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,9/29/14,Monday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:00 AM,9/29/14,Monday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:00 AM,9/29/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,11:00 AM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,3:00 PM,9/29/14,Monday
Faculty,60+ minutes,In Person Personal,Research and Instruction Services,4:30 PM,9/29/14,Monday
Faculty,10-20 minutes,Phone Personal,Research and Instruction Services,4:30 PM,9/29/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Research and Instruction Services,4:30 PM,9/29/14,Monday
Faculty,30-60 minutes,Chat,Research and Instruction Services,4:30 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,9/29/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:00 PM,9/29/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:00 PM,9/29/14,Monday
Graduate Student,05-10 minutes,Email List,Research and Instruction Services,8:00 AM,9/30/14,Tuesday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,9:00 AM,9/30/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Access Services,9:00 AM,9/30/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Research and Instruction Services,9:30 AM,9/30/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,9/30/14,Tuesday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,1:00 PM,9/30/14,Tuesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,1:00 PM,9/30/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,9/30/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,2:00 PM,9/30/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,9/30/14,Tuesday
Mass Academy,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/30/14,Tuesday
Faculty,01-5 minutes,Phone Personal,Access Services,3:00 PM,9/30/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/30/14,Tuesday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,3:30 PM,9/30/14,Tuesday
Graduate Student,05-10 minutes,Email Personal,Access Services,3:30 PM,9/30/14,Tuesday
